tile_id,source_file,x,y,0: Building,1: Clutter,2: Vegetation,3: Water,4: Background,5: Car,entropy
d9161f7e18_C05BA1BC72OPENPIPELINE_184_40,d9161f7e18_C05BA1BC72OPENPIPELINE,184,40,0.12000029534101486,0.002245098352432251,0.4194392263889313,0.0,0.4574965834617615,0.0008187881903722882,1.4371041059494019
d9161f7e18_C05BA1BC72OPENPIPELINE_184_1064,d9161f7e18_C05BA1BC72OPENPIPELINE,184,1064,0.0,0.015468725934624672,0.5880414247512817,0.0,0.39648982882499695,0.0,1.072655439376831
d9161f7e18_C05BA1BC72OPENPIPELINE_184_2088,d9161f7e18_C05BA1BC72OPENPIPELINE,184,2088,0.028597518801689148,0.0006104218191467226,0.49237221479415894,0.008783126249909401,0.46819254755973816,0.0014441687380895019,1.2426714897155762
d9161f7e18_C05BA1BC72OPENPIPELINE_1208_40,d9161f7e18_C05BA1BC72OPENPIPELINE,1208,40,0.03455335646867752,0.07875525206327438,0.6887623071670532,0.0,0.18365176022052765,0.014277300797402859,1.36355459690094
d9161f7e18_C05BA1BC72OPENPIPELINE_1208_1064,d9161f7e18_C05BA1BC72OPENPIPELINE,1208,1064,0.0,0.0,0.9596700668334961,0.0,0.040329933166503906,0.0,0.2438029944896698
d9161f7e18_C05BA1BC72OPENPIPELINE_1208_2088,d9161f7e18_C05BA1BC72OPENPIPELINE,1208,2088,0.014401319436728954,0.00954133365303278,0.23504093289375305,0.004238717723637819,0.7280977964401245,0.008679893799126148,1.0693153142929077
d9161f7e18_C05BA1BC72OPENPIPELINE_2232_40,d9161f7e18_C05BA1BC72OPENPIPELINE,2232,40,0.030747339129447937,0.14205367863178253,0.30027908086776733,0.0,0.5209876298904419,0.005932250060141087,1.6095428466796875
d9161f7e18_C05BA1BC72OPENPIPELINE_2232_1064,d9161f7e18_C05BA1BC72OPENPIPELINE,2232,1064,0.05548618733882904,0.0017229352379217744,0.8182663917541504,0.0,0.1189894899725914,0.005535016767680645,0.8909879326820374
d9161f7e18_C05BA1BC72OPENPIPELINE_2232_2088,d9161f7e18_C05BA1BC72OPENPIPELINE,2232,2088,0.0,0.004654461517930031,0.35711023211479187,0.0,0.6382352709770203,0.0,0.9800413846969604
c2e8370ca3_3340CAC7AEOPENPIPELINE_136_27,c2e8370ca3_3340CAC7AEOPENPIPELINE,136,27,0.0,0.0008851140737533569,0.04359058290719986,0.0,0.9555243253707886,0.0,0.2687155306339264
c2e8370ca3_3340CAC7AEOPENPIPELINE_136_1051,c2e8370ca3_3340CAC7AEOPENPIPELINE,136,1051,0.0,0.0,0.25258156657218933,0.0,0.7474184632301331,0.0,0.8153442740440369
c2e8370ca3_3340CAC7AEOPENPIPELINE_1160_27,c2e8370ca3_3340CAC7AEOPENPIPELINE,1160,27,0.0,0.01951296254992485,0.0,0.0,0.980487048625946,0.0,0.1386972963809967
c2e8370ca3_3340CAC7AEOPENPIPELINE_1160_1051,c2e8370ca3_3340CAC7AEOPENPIPELINE,1160,1051,0.0,0.023184984922409058,0.0002302138600498438,0.0,0.97359299659729,0.0029918004292994738,0.19136737287044525
