tile_id,source_file,x,y,dist_0:Building,dist_1:Vegetation,dist_2:Water,dist_3:Background,dist_4:Car,dist_5:Road,entropy,count_0:Building,count_1:Vegetation,count_2:Water,count_3:Background,count_4:Car,count_5:Road
c37dbfae2f_84B52814D2OPENPIPELINE_256_256,c37dbfae2f_84B52814D2OPENPIPELINE,256,256,0.0,0.9605865478515625,0.0,0.0394134521484375,0.0,0.0,0.2395965245337813,0,251812,0,10332,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_512_256,c37dbfae2f_84B52814D2OPENPIPELINE,512,256,0.0,0.982696533203125,0.0,0.017303466796875,0.0,0.0,0.1260201662184465,0,257608,0,4536,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_768_256,c37dbfae2f_84B52814D2OPENPIPELINE,768,256,0.0,1.0,0.0,0.0,0.0,0.0,1.5670023919954824e-07,0,262144,0,0,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_1024_256,c37dbfae2f_84B52814D2OPENPIPELINE,1024,256,0.0,0.98150634765625,0.0,0.01849365234375,0.0,0.0,0.13289732293541875,0,257296,0,4848,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_1280_256,c37dbfae2f_84B52814D2OPENPIPELINE,1280,256,0.0,0.9802093505859375,0.0,0.0197906494140625,0.0,0.0,0.14026361140114782,0,256956,0,5188,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_1536_256,c37dbfae2f_84B52814D2OPENPIPELINE,1536,256,0.0,0.9987030029296875,0.0,0.0012969970703125,0.0,0.0,0.014309083989783374,0,261804,0,340,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_2304_256,c37dbfae2f_84B52814D2OPENPIPELINE,2304,256,0.000213623046875,0.559417724609375,0.0,0.4363555908203125,0.0040130615234375,0.0,1.0254124811587673,56,146648,0,114388,1052,0
c37dbfae2f_84B52814D2OPENPIPELINE_3072_256,c37dbfae2f_84B52814D2OPENPIPELINE,3072,256,0.0,0.6772613525390625,0.03009033203125,0.2926483154296875,0.0,0.0,1.0516554092725625,0,177540,7888,76716,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_3328_256,c37dbfae2f_84B52814D2OPENPIPELINE,3328,256,0.0,0.980865478515625,0.0,0.019134521484375,0.0,0.0,0.13655329614686512,0,257128,0,5016,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_3584_256,c37dbfae2f_84B52814D2OPENPIPELINE,3584,256,0.0,0.99884033203125,0.0,0.00115966796875,0.0,0.0,0.012981377890378875,0,261840,0,304,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_3840_256,c37dbfae2f_84B52814D2OPENPIPELINE,3840,256,0.0,0.99884033203125,0.0,0.00115966796875,0.0,0.0,0.012981377890378875,0,261840,0,304,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_4096_256,c37dbfae2f_84B52814D2OPENPIPELINE,4096,256,0.0,1.0,0.0,0.0,0.0,0.0,1.5670023919954824e-07,0,262144,0,0,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_256_512,c37dbfae2f_84B52814D2OPENPIPELINE,256,512,0.0,0.568572998046875,0.0,0.431427001953125,0.0,0.0,0.986389422222943,0,149048,0,113096,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_512_512,c37dbfae2f_84B52814D2OPENPIPELINE,512,512,0.0,0.6055755615234375,0.0,0.3944244384765625,0.0,0.0,0.9675956393869644,0,158748,0,103396,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_768_512,c37dbfae2f_84B52814D2OPENPIPELINE,768,512,0.0,0.6500244140625,0.0,0.3499755859375,0.0,0.0,0.9340463715495436,0,170400,0,91744,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_1024_512,c37dbfae2f_84B52814D2OPENPIPELINE,1024,512,0.0,0.6756744384765625,0.0,0.3243255615234375,0.0,0.0,0.9090235882412447,0,177124,0,85020,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_1280_512,c37dbfae2f_84B52814D2OPENPIPELINE,1280,512,0.0,0.6956329345703125,0.0,0.3043670654296875,0.0,0.0,0.8865639595489033,0,182356,0,79788,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_1536_512,c37dbfae2f_84B52814D2OPENPIPELINE,1536,512,0.0,0.7501678466796875,0.0,0.2498321533203125,0.0,0.0,0.8110121082746835,0,196652,0,65492,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_1792_512,c37dbfae2f_84B52814D2OPENPIPELINE,1792,512,0.0,0.8675537109375,0.0,0.1324462890625,0.0,0.0,0.5641093009797674,0,227424,0,34720,0,0
c37dbfae2f_84B52814D2OPENPIPELINE_2048_512,c37dbfae2f_84B52814D2OPENPIPELINE,2048,512,0.0,0.9378509521484375,0.0,0.0621490478515625,0.0,0.0,0.33591754344400954,0,245852,0,16292,0,0
